"daily_Date","Open","High","Low","Close","Volume","Adj.Close","daily_returns","start.date","debt.volume","change"
2013-08-22,"14,908.60","14,989.10","14,899.00","14,963.70","1,534,900",14963.7,-0.00311781752773055,"2013-08-21 00:00:00",20,0
2013-08-23,"14,988.80","15,025.60","14,931.20","15,010.50","1,318,600",15010.5,0.00428193891546513,"2013-08-22 00:00:00",20,0
2013-08-26,"15,014.60","15,050.00","14,945.20","14,946.50","1,028,200",14946.5,0.0115321363553305,"2013-08-25 00:00:00",15,-1
2013-08-27,"14,939.30","14,939.30","14,765.40","14,776.10","1,186,100",14776.1,-0.00326486559411787,"2013-08-26 00:00:00",20,5
2013-08-28,"14,771.00","14,867.40","14,760.40","14,824.50","1,046,200",14824.5,-0.00111178492015362,"2013-08-27 00:00:00",24,4
2013-08-29,"14,817.90","14,916.00","14,792.10","14,841.00","931,700",14841,0.00207288171070141,"2013-08-28 00:00:00",24,0
2013-08-30,"14,844.10","14,848.20","14,762.40","14,810.30","1,358,500",14810.3,-0.00159768100310098,"2013-08-29 00:00:00",22,-2
2013-09-03,"14,801.60","14,933.40","14,777.50","14,834.00","1,425,300",14834,-0.00648989679121814,"2013-09-02 00:00:00",14,2
2013-09-04,"14,832.40","14,956.70","14,799.10","14,930.90","1,221,500",14930.9,-0.000441841004184096,"2013-09-03 00:00:00",21,7
2013-09-05,"14,929.50","14,987.50","14,923.30","14,937.50","1,010,100",14937.5,0.00100519349974859,"2013-09-04 00:00:00",22,1
2013-09-06,"14,941.60","15,009.80","14,789.40","14,922.50","1,084,100",14922.5,-0.00933406802052705,"2013-09-05 00:00:00",22,0
2013-09-09,"14,927.20","15,088.40","14,927.20","15,063.10","906,600",15063.1,-0.00842598626827551,"2013-09-08 00:00:00",14,0
2013-09-10,"15,067.20","15,192.10","15,067.20","15,191.10","1,032,000",15191.1,-0.00884083880312658,"2013-09-09 00:00:00",21,7
2013-09-11,"15,194.10","15,326.60","15,194.10","15,326.60","1,020,900",15326.6,0.00169927976680651,"2013-09-10 00:00:00",23,2
2013-09-12,"15,327.10","15,345.30","15,283.30","15,300.60","997,600",15300.6,-0.00491021780555534,"2013-09-11 00:00:00",24,1
2013-09-13,"15,312.90","15,381.00","15,312.90","15,376.10","908,900",15376.1,-0.00766063453545696,"2013-09-12 00:00:00",23,-1
2013-09-16,"15,381.40","15,549.90","15,381.40","15,494.80","1,057,400",15494.8,-0.00224730677347285,"2013-09-15 00:00:00",15,0
2013-09-17,"15,503.20","15,555.10","15,503.20","15,529.70","1,044,800",15529.7,-0.00938961146655259,"2013-09-16 00:00:00",24,9
2013-09-18,"15,533.00","15,709.60","15,470.20","15,676.90","1,454,100",15676.9,0.00257728662241141,"2013-09-17 00:00:00",27,3
2013-09-19,"15,677.90","15,695.90","15,625.50","15,636.60","1,162,800",15636.6,0.0120056177230101,"2013-09-18 00:00:00",26,-1
2013-09-20,"15,635.10","15,654.80","15,448.10","15,451.10","3,796,500",15451.1,0.00322697936551219,"2013-09-19 00:00:00",27,1
2013-09-23,"15,452.30","15,467.00","15,368.30","15,401.40","949,200",15401.4,0.00435616188227916,"2013-09-22 00:00:00",17,0
2013-09-24,"15,402.50","15,433.80","15,327.10","15,334.60","854,300",15334.6,0.00401353996844178,"2013-09-23 00:00:00",27,10
2013-09-25,"15,339.00","15,372.50","15,253.20","15,273.30","818,900",15273.3,-0.00358813436584615,"2013-09-24 00:00:00",27,0
2013-09-26,"15,274.40","15,387.20","15,274.40","15,328.30","790,500",15328.3,0.00459425096013932,"2013-09-25 00:00:00",28,1
2013-09-27,"15,317.50","15,317.50","15,211.80","15,258.20","956,600",15258.2,0.00849322855046686,"2013-09-26 00:00:00",31,3
2013-09-30,"15,249.80","15,249.80","15,086.70","15,129.70","1,223,300",15129.7,-0.00408117590526402,"2013-09-29 00:00:00",22,-1
2013-10-01,"15,132.50","15,208.40","15,110.30","15,191.70","824,600",15191.7,0.00387230640120007,"2013-09-30 00:00:00",38,16
2013-10-02,"15,182.70","15,182.70","15,044.70","15,133.10","860,900",15133.1,0.00910879205147874,"2013-10-01 00:00:00",53,15
2013-10-03,"15,127.20","15,127.20","14,947.00","14,996.50","913,000",14996.5,-0.00504889667343389,"2013-10-02 00:00:00",48,-5
2013-10-04,"14,994.70","15,084.00","14,972.30","15,072.60","751,000",15072.6,0.00913217551987788,"2013-10-03 00:00:00",47,-1
2013-10-07,"15,069.30","15,069.30","14,920.80","14,936.20","796,200",14936.2,0.0108077014177919,"2013-10-06 00:00:00",30,2
2013-10-08,"14,938.00","14,938.00","14,773.50","14,776.50","1,026,900",14776.5,-0.00179017766668921,"2013-10-07 00:00:00",51,21
2013-10-09,"14,778.20","14,852.50","14,719.40","14,803.00","1,031,900",14803,-0.0213604299852573,"2013-10-08 00:00:00",71,20
2013-10-10,"14,806.40","15,126.10","14,806.40","15,126.10","1,065,400",15126.1,-0.00728485079181729,"2013-10-09 00:00:00",66,-5
2013-10-11,"15,126.50","15,237.30","15,100.10","15,237.10","857,300",15237.1,-0.00419572193212336,"2013-10-10 00:00:00",61,-5
2013-10-14,"15,231.30","15,309.50","15,136.40","15,301.30","814,200",15301.3,0.00878823839662446,"2013-10-13 00:00:00",37,4
2013-10-15,"15,300.30","15,301.90","15,161.30","15,168.00","914,400",15168,-0.0133864106466846,"2013-10-14 00:00:00",54,17
2013-10-16,"15,170.70","15,374.20","15,170.70","15,373.80","928,500",15373.8,0.000136614688030612,"2013-10-15 00:00:00",66,12
2013-10-17,"15,369.50","15,376.10","15,229.00","15,371.70","1,084,900",15371.7,-0.00181821723799813,"2013-10-16 00:00:00",100,34
2013-10-18,"15,371.70","15,413.00","15,321.80","15,399.70","1,566,600",15399.7,0.000487259780928007,"2013-10-17 00:00:00",100,0
2013-10-21,"15,401.30","15,410.20","15,362.70","15,392.20","936,600",15392.2,-0.00488113940663448,"2013-10-20 00:00:00",26,-2
2013-10-22,"15,394.20","15,518.10","15,394.20","15,467.70","1,070,300",15467.7,0.00352941939753348,"2013-10-21 00:00:00",34,8
2013-10-23,"15,465.30","15,465.70","15,366.20","15,413.30","906,300",15413.3,-0.00618342661130178,"2013-10-22 00:00:00",31,-3
2013-10-24,"15,414.90","15,528.60","15,414.10","15,509.20","892,400",15509.2,-0.00392413762098343,"2013-10-23 00:00:00",31,0
2013-10-25,"15,523.70","15,570.60","15,513.00","15,570.30","1,099,000",15570.3,8.99228590329759e-05,"2013-10-24 00:00:00",28,-3
2013-10-28,"15,569.20","15,599.10","15,533.50","15,568.90","927,600",15568.9,-0.00711078799010234,"2013-10-27 00:00:00",16,-1
2013-10-29,"15,572.20","15,683.10","15,572.20","15,680.40","866,000",15680.4,0.00394396496529836,"2013-10-28 00:00:00",25,9
2013-10-30,"15,680.70","15,721.00","15,574.50","15,618.80","791,700",15618.8,0.00469903349790135,"2013-10-29 00:00:00",29,4
2013-10-31,"15,619.92","15,651.86","15,544.69","15,545.75","1,140,500",15545.75,-0.0044699033975748,"2013-10-30 00:00:00",29,0
2013-11-01,"15,558.01","15,649.40","15,543.25","15,615.55","1,018,300",15615.55,-0.00150711804756287,"2013-10-31 00:00:00",27,-2
2013-11-04,"15,621.20","15,658.90","15,588.48","15,639.12","712,000",15639.12,0.00133818066335345,"2013-11-03 00:00:00",17,1
2013-11-05,"15,631.22","15,651.89","15,522.18","15,618.22","918,900",15618.22,-0.00817050742750314,"2013-11-04 00:00:00",25,8
2013-11-06,"15,628.72","15,750.29","15,628.72","15,746.88","1,092,000",15746.88,0.00980506580103335,"2013-11-05 00:00:00",27,2
2013-11-07,"15,751.31","15,797.68","15,586.33","15,593.98","1,038,600",15593.98,-0.0106460057176284,"2013-11-06 00:00:00",26,-1
2013-11-08,"15,591.54","15,764.29","15,579.35","15,761.78","1,012,000",15761.78,-0.00135081194442155,"2013-11-07 00:00:00",26,0
2013-11-11,"15,759.28","15,791.45","15,737.22","15,783.10","588,600",15783.1,0.00205896003154149,"2013-11-10 00:00:00",16,1
2013-11-12,"15,773.15","15,793.38","15,708.29","15,750.67","792,600",15750.67,-0.00448499933319124,"2013-11-11 00:00:00",23,7
2013-11-13,"15,739.50","15,822.98","15,672.00","15,821.63","924,500",15821.63,-0.00343847590925295,"2013-11-12 00:00:00",27,4
2013-11-14,"15,806.22","15,884.99","15,798.74","15,876.22","1,238,600",15876.22,-0.00535531929556388,"2013-11-13 00:00:00",26,-1
2013-11-15,"15,876.16","15,962.98","15,875.90","15,961.70","1,264,600",15961.7,-0.000896343394662713,"2013-11-14 00:00:00",25,-1
