Date,Open,High,Low,Close,Volume,Adj Close
"Nov 4, 2013","15,621.20","15,658.90","15,588.48","15,639.12","712,000","15,639.12"
"Oct 28, 2013","15,569.20","15,599.10","15,533.50","15,568.90","927,600","15,568.90"
"Oct 21, 2013","15,401.30","15,410.20","15,362.70","15,392.20","936,600","15,392.20"
"Oct 14, 2013","15,231.30","15,309.50","15,136.40","15,301.30","814,200","15,301.30"
"Oct 7, 2013","15,069.30","15,069.30","14,920.80","14,936.20","796,200","14,936.20"
"Sep 30, 2013","15,249.80","15,249.80","15,086.70","15,129.70","1,223,300","15,129.70"
"Sep 23, 2013","15,452.30","15,467.00","15,368.30","15,401.40","949,200","15,401.40"
"Sep 16, 2013","15,381.40","15,549.90","15,381.40","15,494.80","1,057,400","15,494.80"
"Sep 9, 2013","14,927.20","15,088.40","14,927.20","15,063.10","906,600","15,063.10"
"Aug 26, 2013","15,014.60","15,050.00","14,945.20","14,946.50","1,028,200","14,946.50"
"Aug 19, 2013","15,076.80","15,106.40","15,005.40","15,010.70","1,116,600","15,010.70"
"Aug 12, 2013","15,415.20","15,441.80","15,359.90","15,419.70","780,600","15,419.70"
"Aug 5, 2013","15,652.00","15,655.20","15,584.80","15,612.10","768,500","15,612.10"
"Jul 29, 2013","15,557.10","15,557.10","15,482.30","15,522.00","872,400","15,522.00"
"Jul 22, 2013","15,544.00","15,576.20","15,516.20","15,545.60","1,809,200","15,545.60"
"Jul 15, 2013","15,459.70","15,509.50","15,455.80","15,484.30","994,300","15,484.30"
"Jul 8, 2013","15,137.20","15,262.70","15,137.20","15,224.70","1,368,200","15,224.70"
"Jul 1, 2013","14,911.60","15,083.30","14,911.60","14,975.00","1,205,700","14,975.00"
"Jun 24, 2013","14,795.80","14,795.80","14,551.30","14,659.60","1,586,700","14,659.60"
"Jun 17, 2013","15,078.70","15,261.70","15,078.70","15,179.90","1,392,500","15,179.90"
"Jun 10, 2013","15,247.80","15,300.60","15,211.30","15,238.60","942,500","15,238.60"
"Jun 3, 2013","15,123.60","15,254.10","15,123.60","15,254.00","1,479,800","15,254.00"
"May 20, 2013","15,348.30","15,391.80","15,314.20","15,335.30","1,164,200","15,335.30"
"May 13, 2013","15,113.40","15,113.40","15,053.50","15,091.70","942,800","15,091.70"
"May 6, 2013","14,974.00","14,988.90","14,941.10","14,968.90","1,161,600","14,968.90"
"Apr 29, 2013","14,712.60","14,845.00","14,712.60","14,818.80","970,600","14,818.80"
"Apr 22, 2013","14,547.50","14,588.80","14,457.60","14,567.20","1,468,900","14,567.20"
"Apr 15, 2013","14,865.10","14,865.10","14,598.60","14,599.20","1,616,800","14,599.20"
"Apr 8, 2013","14,565.30","14,613.50","14,497.80","14,613.50","1,066,800","14,613.50"
"Apr 1, 2013","14,578.50","14,605.70","14,531.50","14,572.90","914,000","14,572.90"
"Mar 25, 2013","14,512.00","14,563.80","14,395.00","14,447.80","1,248,400","14,447.80"
"Mar 18, 2013","14,514.10","14,521.60","14,404.20","14,452.10","1,196,400","14,452.10"
"Mar 11, 2013","14,397.10","14,448.10","14,373.30","14,447.30","948,800","14,447.30"
"Mar 4, 2013","14,089.70","14,128.20","14,030.40","14,127.80","1,108,100","14,127.80"
"Feb 25, 2013","14,000.60","14,081.60","13,784.00","13,784.20","1,521,900","13,784.20"
"Feb 11, 2013","13,993.00","13,993.00","13,940.40","13,971.20","750,900","13,971.20"
"Feb 4, 2013","14,009.80","14,009.80","13,866.80","13,880.10","1,304,200","13,880.10"
"Jan 28, 2013","13,896.00","13,915.70","13,862.60","13,881.90","1,135,700","13,881.90"
"Jan 14, 2013","13,488.40","13,520.20","13,459.80","13,507.30","1,184,600","13,507.30"
"Jan 7, 2013","13,436.10","13,436.10","13,343.30","13,384.30","1,131,200","13,384.30"
"Dec 31, 2012","12,938.20","13,109.10","12,883.90","13,104.10","1,457,400","13,104.10"
"Dec 24, 2012","13,190.20","13,190.40","13,128.60","13,138.90","477,100","13,138.90"
"Dec 17, 2012","13,135.20","13,244.30","13,134.60","13,235.40","1,429,800","13,235.40"
"Dec 10, 2012","13,154.90","13,195.40","13,139.10","13,169.90","1,185,300","13,169.90"
"Dec 3, 2012","13,027.70","13,087.30","12,959.40","12,965.60","1,129,000","12,965.60"
"Nov 26, 2012","13,008.50","13,008.50","12,900.20","12,967.40","1,143,600","12,967.40"
"Nov 19, 2012","12,590.20","12,796.20","12,590.20","12,796.00","1,369,100","12,796.00"
"Nov 12, 2012","12,815.90","12,861.30","12,783.00","12,815.10","623,600","12,815.10"
"Nov 5, 2012","13,092.30","13,140.60","13,038.70","13,112.40","953,500","13,112.40"
"Oct 22, 2012","13,344.30","13,368.60","13,235.20","13,345.90","1,218,800","13,345.90"
"Oct 15, 2012","13,329.50","13,437.70","13,325.90","13,424.20","1,148,800","13,424.20"
"Oct 8, 2012","13,589.30","13,610.40","13,552.10","13,583.70","713,000","13,583.70"
"Oct 1, 2012","13,437.70","13,598.30","13,437.70","13,515.10","1,061,200","13,515.10"
"Sep 24, 2012","13,577.90","13,601.90","13,521.70","13,558.90","1,203,700","13,558.90"
"Sep 17, 2012","13,588.60","13,593.20","13,526.70","13,553.10","1,280,200","13,553.10"
"Sep 10, 2012","13,308.60","13,324.10","13,251.40","13,254.30","1,238,100","13,254.30"
"Aug 27, 2012","13,157.70","13,176.20","13,115.50","13,124.70","960,700","13,124.70"
"Aug 20, 2012","13,274.60","13,276.20","13,230.10","13,271.60","875,900","13,271.60"
"Aug 13, 2012","13,204.90","13,205.00","13,112.90","13,169.40","675,500","13,169.40"
"Aug 6, 2012","13,099.90","13,187.30","13,099.70","13,117.50","842,700","13,117.50"
"Jul 30, 2012","13,075.40","13,128.60","13,042.90","13,073.00","917,300","13,073.00"
"Jul 23, 2012","12,820.50","12,820.50","12,583.40","12,721.50","1,377,600","12,721.50"
"Jul 16, 2012","12,776.30","12,779.60","12,690.10","12,727.20","935,000","12,727.20"
"Jul 9, 2012","12,772.00","12,772.00","12,686.60","12,736.30","1,001,500","12,736.30"
"Jul 2, 2012","12,879.70","12,902.10","12,795.50","12,871.40","1,096,400","12,871.40"
"Jun 25, 2012","12,639.80","12,639.90","12,458.00","12,502.70","1,340,900","12,502.70"
"Jun 18, 2012","12,767.00","12,781.90","12,696.20","12,741.80","1,112,800","12,741.80"
"Jun 11, 2012","12,553.80","12,650.50","12,398.50","12,411.20","1,210,600","12,411.20"
"Jun 4, 2012","12,119.90","12,143.70","12,035.10","12,101.50","1,264,400","12,101.50"
"May 21, 2012","12,369.20","12,508.10","12,367.70","12,504.50","1,421,100","12,504.50"
"May 14, 2012","12,818.50","12,818.90","12,661.50","12,695.40","1,431,900","12,695.40"
"May 7, 2012","13,035.90","13,049.10","12,970.00","13,008.50","1,100,800","13,008.50"
"Apr 30, 2012","13,228.30","13,228.80","13,176.00","13,213.60","1,278,700","13,213.60"
"Apr 23, 2012","13,028.20","13,028.20","12,845.60","12,927.20","1,393,700","12,927.20"
"Apr 16, 2012","12,850.90","12,986.80","12,850.80","12,921.40","1,209,900","12,921.40"
"Apr 9, 2012","13,057.60","13,057.70","12,903.80","12,929.60","1,055,800","12,929.60"
"Apr 2, 2012","13,211.40","13,297.10","13,153.70","13,264.50","1,087,900","13,264.50"
"Mar 26, 2012","13,082.60","13,243.90","13,082.40","13,241.60","1,220,800","13,241.60"
"Mar 19, 2012","13,231.90","13,269.70","13,208.60","13,239.10","1,471,200","13,239.10"
"Mar 12, 2012","12,920.60","12,976.40","12,920.00","12,959.70","1,000,000","12,959.70"
"Mar 5, 2012","12,977.30","12,977.30","12,883.90","12,962.80","1,086,300","12,962.80"
"Feb 27, 2012","12,981.10","13,027.50","12,882.60","12,981.50","1,435,300","12,981.50"
"Feb 13, 2012","12,799.10","12,887.90","12,799.10","12,874.00","1,122,400","12,874.00"
"Feb 6, 2012","12,860.70","12,860.80","12,793.40","12,845.10","1,080,400","12,845.10"
"Jan 30, 2012","12,659.20","12,659.30","12,529.40","12,653.70","1,304,300","12,653.70"
"Jan 23, 2012","12,720.30","12,764.50","12,665.80","12,708.80","1,498,600","12,708.80"
"Jan 9, 2012","12,359.30","12,409.10","12,333.90","12,392.70","1,222,000","12,392.70"
"Dec 19, 2011","11,866.50","11,925.90","11,735.20","11,766.30","1,351,700","11,766.30"
"Dec 12, 2011","12,181.10","12,181.40","11,940.90","12,021.40","1,490,500","12,021.40"
"Dec 5, 2011","12,021.50","12,186.50","12,021.50","12,097.80","1,538,300","12,097.80"
"Nov 28, 2011","11,232.50","11,562.10","11,232.20","11,523.00","2,049,500","11,523.00"
"Nov 21, 2011","11,795.60","11,795.70","11,454.10","11,547.30","1,709,600","11,547.30"
"Nov 14, 2011","12,153.00","12,170.60","12,027.00","12,079.00","1,196,100","12,079.00"
"Nov 7, 2011","11,983.00","12,074.40","11,880.70","12,068.40","1,221,100","12,068.40"
"Oct 31, 2011","12,229.20","12,229.30","11,954.40","11,955.00","1,857,900","11,955.00"
"Oct 24, 2011","11,808.00","11,940.80","11,805.80","11,913.60","1,618,700","11,913.60"
"Oct 17, 2011","11,643.40","11,643.40","11,378.40","11,397.00","1,403,600","11,397.00"
"Oct 10, 2011","11,104.60","11,433.30","11,104.60","11,433.20","1,442,700","11,433.20"
"Oct 3, 2011","10,912.10","10,979.20","10,653.30","10,655.30","2,428,700","10,655.30"
"Sep 26, 2011","10,771.80","11,057.50","10,771.80","11,043.90","2,256,200","11,043.90"
"Sep 19, 2011","11,506.80","11,506.80","11,255.30","11,401.00","1,575,800","11,401.00"
"Sep 12, 2011","10,990.00","11,062.00","10,824.80","11,061.10","1,971,600","11,061.10"
"Aug 29, 2011","11,286.70","11,541.80","11,286.60","11,539.30","1,775,400","11,539.30"
"Aug 22, 2011","10,820.40","11,020.60","10,820.40","10,854.70","2,267,200","10,854.70"
"Aug 15, 2011","11,269.90","11,484.60","11,269.90","11,482.90","1,881,200","11,482.90"
"Aug 8, 2011","11,433.90","11,434.10","10,809.90","10,809.90","4,799,800","10,809.90"
"Aug 1, 2011","12,144.20","12,282.40","11,998.10","12,132.50","1,828,200","12,132.50"
"Jul 25, 2011","12,679.70","12,680.00","12,536.20","12,592.80","1,287,600","12,592.80"
"Jul 18, 2011","12,475.10","12,475.30","12,296.20","12,385.20","1,489,500","12,385.20"
"Jul 11, 2011","12,655.60","12,655.80","12,470.30","12,505.80","1,332,500","12,505.80"
"Jun 27, 2011","11,934.70","12,098.80","11,934.10","12,043.60","1,779,200","12,043.60"
"Jun 20, 2011","12,004.30","12,099.90","11,971.30","12,080.40","1,272,500","12,080.40"
"Jun 13, 2011","11,945.30","12,011.70","11,917.80","11,953.00","1,533,700","11,953.00"
"Jun 6, 2011","12,151.20","12,151.50","12,070.70","12,090.00","1,666,000","12,090.00"
"May 23, 2011","12,511.40","12,511.40","12,331.80","12,381.30","1,507,200","12,381.30"
"May 16, 2011","12,594.80","12,642.90","12,530.80","12,548.40","1,923,100","12,548.40"
"May 9, 2011","12,637.80","12,722.10","12,620.20","12,684.70","1,339,400","12,684.70"
"May 2, 2011","12,810.20","12,876.00","12,784.60","12,807.40","1,509,600","12,807.40"
"Apr 25, 2011","12,506.00","12,506.20","12,446.10","12,479.90","1,286,600","12,479.90"
"Apr 18, 2011","12,339.70","12,339.80","12,093.90","12,201.60","1,902,200","12,201.60"
"Apr 11, 2011","12,380.40","12,444.00","12,352.90","12,381.10","1,099,500","12,381.10"
"Apr 4, 2011","12,374.60","12,407.40","12,369.20","12,400.00","1,146,600","12,400.00"
"Mar 28, 2011","12,221.20","12,272.90","12,197.90","12,197.90","1,230,700","12,197.90"
"Mar 21, 2011","11,860.10","12,078.30","11,860.10","12,036.50","1,433,900","12,036.50"
"Mar 14, 2011","12,042.10","12,042.10","11,897.30","11,993.20","1,630,000","11,993.20"
"Mar 7, 2011","12,171.10","12,243.40","12,041.60","12,090.00","1,762,000","12,090.00"
"Feb 28, 2011","12,130.50","12,235.00","12,130.20","12,226.30","1,995,600","12,226.30"
"Feb 14, 2011","12,266.80","12,276.20","12,235.90","12,268.20","1,463,500","12,268.20"
"Feb 7, 2011","12,092.40","12,188.80","12,092.30","12,161.60","1,329,600","12,161.60"
"Jan 31, 2011","11,824.40","11,891.90","11,817.90","11,891.90","2,065,800","11,891.90"
"Jan 24, 2011","11,873.40","11,982.90","11,868.00","11,980.50","1,840,000","11,980.50"
"Jan 10, 2011","11,672.30","11,677.30","11,573.90","11,637.50","1,503,400","11,637.50"
"Jan 3, 2011","11,577.40","11,711.50","11,577.40","11,670.80","2,034,200","11,670.80"
"Dec 27, 2010","11,572.80","11,573.20","11,518.40","11,555.00","768,200","11,555.00"
"Dec 20, 2010","11,491.30","11,517.10","11,442.70","11,478.10","1,253,600","11,478.10"
"Dec 13, 2010","11,406.20","11,480.00","11,405.30","11,428.60","1,511,900","11,428.60"
"Dec 6, 2010","11,381.30","11,392.10","11,350.30","11,362.20","1,222,400","11,362.20"
"Nov 29, 2010","11,083.80","11,083.80","10,929.30","11,052.50","1,515,300","11,052.50"
"Nov 22, 2010","11,201.70","11,206.10","11,054.50","11,178.60","1,528,500","11,178.60"
"Nov 15, 2010","11,194.00","11,280.90","11,189.10","11,202.00","1,556,600","11,202.00"
"Nov 8, 2010","11,439.50","11,439.60","11,362.50","11,406.80","1,439,900","11,406.80"
"Nov 1, 2010","11,120.30","11,244.30","11,062.30","11,124.60","1,501,300","11,124.60"
"Oct 25, 2010","11,133.40","11,247.60","11,132.30","11,164.10","1,681,100","11,164.10"
"Oct 18, 2010","11,062.60","11,159.10","11,054.80","11,143.70","1,902,900","11,143.70"
"Oct 11, 2010","11,006.90","11,030.50","10,977.90","11,010.30","1,148,300","11,010.30"
"Oct 4, 2010","10,828.90","10,853.70","10,711.10","10,751.30","1,603,700","10,751.30"
"Sep 27, 2010","10,860.00","10,873.20","10,809.60","10,812.00","1,439,100","10,812.00"
"Sep 20, 2010","10,608.10","10,774.10","10,608.10","10,753.60","1,571,200","10,753.60"
"Sep 13, 2010","10,458.60","10,567.60","10,458.60","10,544.10","1,907,200","10,544.10"
"Aug 30, 2010","10,145.60","10,150.60","10,007.70","10,009.70","1,504,800","10,009.70"
"Aug 23, 2010","10,215.50","10,304.70","10,170.30","10,174.40","1,730,000","10,174.40"
"Aug 16, 2010","10,303.10","10,333.10","10,209.50","10,302.00","1,460,400","10,302.00"
"Aug 9, 2010","10,654.60","10,719.90","10,649.40","10,698.80","1,663,300","10,698.80"
"Aug 2, 2010","10,468.80","10,692.20","10,468.60","10,674.40","1,676,400","10,674.40"
"Jul 26, 2010","10,424.20","10,526.80","10,414.40","10,525.40","1,788,200","10,525.40"
"Jul 19, 2010","10,098.10","10,187.30","10,073.70","10,154.40","1,769,700","10,154.40"
"Jul 12, 2010","10,199.20","10,220.30","10,146.50","10,216.30","1,314,900","10,216.30"
"Jun 28, 2010","10,143.10","10,201.90","10,101.40","10,138.50","1,641,000","10,138.50"
"Jun 21, 2010","10,452.50","10,594.20","10,395.60","10,442.40","1,651,900","10,442.40"
"Jun 14, 2010","10,211.80","10,328.70","10,186.20","10,190.90","1,779,200","10,190.90"
"Jun 7, 2010","9,931.80","9,982.40","9,810.30","9,816.50","2,229,400","9,816.50"
"May 24, 2010","10,193.50","10,196.40","10,052.70","10,066.60","2,114,300","10,066.60"
"May 17, 2010","10,617.00","10,661.00","10,436.10","10,625.80","2,219,100","10,625.80"
"May 10, 2010","10,386.20","10,835.20","10,386.00","10,785.10","3,133,500","10,785.10"
"May 3, 2010","11,009.60","11,177.70","11,009.60","11,151.80","1,780,800","11,151.80"
"Apr 26, 2010","11,205.10","11,258.00","11,187.70","11,205.00","1,919,200","11,205.00"
"Apr 19, 2010","11,018.40","11,095.30","10,977.90","11,092.10","2,148,500","11,092.10"
"Apr 12, 2010","10,996.80","11,029.80","10,992.20","11,006.00","1,539,600","11,006.00"
"Apr 5, 2010","10,927.50","10,988.10","10,924.00","10,973.60","1,394,800","10,973.60"
"Mar 29, 2010","10,849.20","10,916.60","10,849.20","10,895.90","1,367,100","10,895.90"
"Mar 22, 2010","10,741.00","10,809.90","10,695.10","10,785.90","1,572,000","10,785.90"
"Mar 15, 2010","10,623.40","10,644.20","10,570.50","10,642.20","1,605,700","10,642.20"
"Mar 8, 2010","10,563.80","10,587.70","10,542.40","10,552.50","1,717,800","10,552.50"
"Mar 1, 2010","10,326.10","10,414.00","10,326.10","10,403.80","1,737,500","10,403.80"
"Feb 22, 2010","10,402.40","10,433.60","10,369.00","10,383.40","1,584,400","10,383.40"
"Feb 8, 2010","10,005.40","10,028.60","9,904.10","9,908.40","2,162,700","9,908.40"
"Feb 1, 2010","10,069.00","10,190.90","10,068.90","10,185.50","1,984,300","10,185.50"
"Jan 25, 2010","10,175.10","10,256.90","10,171.80","10,196.90","2,153,300","10,196.90"
"Jan 11, 2010","10,620.30","10,676.20","10,591.60","10,664.00","1,820,500","10,664.00"
"Jan 4, 2010","10,430.70","10,605.00","10,430.70","10,584.00","1,797,800","10,584.00"
"Dec 28, 2009","10,517.90","10,551.60","10,506.30","10,547.10","1,020,100","10,547.10"
"Dec 21, 2009","10,330.10","10,458.10","10,329.80","10,414.10","1,644,700","10,414.10"
"Dec 14, 2009","10,471.30","10,514.70","10,471.30","10,501.10","1,543,600","10,501.10"
"Dec 7, 2009","10,386.90","10,443.20","10,360.20","10,390.10","1,965,800","10,390.10"
"Nov 30, 2009","10,309.80","10,364.30","10,263.30","10,344.80","2,235,800","10,344.80"
"Nov 23, 2009","10,320.10","10,495.60","10,320.10","10,451.00","1,823,500","10,451.00"
"Nov 16, 2009","10,267.50","10,434.20","10,267.50","10,407.00","2,025,700","10,407.00"
"Nov 9, 2009","10,020.60","10,228.20","10,020.60","10,226.90","2,274,700","10,226.90"
"Nov 2, 2009","9,712.10","9,858.60","9,679.00","9,789.40","2,424,600","9,789.40"
"Oct 26, 2009","9,972.30","10,072.30","9,849.50","9,868.00","2,700,500","9,868.00"
"Oct 19, 2009","9,996.70","10,118.00","9,995.20","10,092.20","1,862,400","10,092.20"
"Oct 12, 2009","9,865.20","9,931.80","9,849.40","9,885.80","1,588,500","9,885.80"
"Oct 5, 2009","9,488.70","9,625.10","9,481.10","9,599.80","1,738,500","9,599.80"
"Sep 28, 2009","9,663.20","9,823.70","9,663.20","9,789.40","1,637,800","9,789.40"
"Sep 21, 2009","9,818.60","9,818.70","9,725.90","9,778.90","1,728,300","9,778.90"
"Sep 14, 2009","9,598.10","9,631.10","9,536.00","9,626.80","1,964,800","9,626.80"
"Aug 31, 2009","9,542.90","9,543.10","9,436.10","9,496.30","2,016,000","9,496.30"
"Aug 24, 2009","9,506.20","9,587.70","9,486.20","9,509.30","1,905,900","9,509.30"
"Aug 17, 2009","9,313.90","9,313.90","9,116.50","9,135.30","2,071,000","9,135.30"
"Aug 10, 2009","9,368.40","9,372.00","9,290.30","9,338.00","1,613,700","9,338.00"
"Aug 3, 2009","9,173.70","9,298.40","9,173.70","9,286.60","2,216,900","9,286.60"
"Jul 27, 2009","9,093.10","9,123.40","9,034.50","9,108.50","1,768,300","9,108.50"
"Jul 20, 2009","8,746.10","8,854.80","8,745.90","8,848.20","2,137,300","8,848.20"
"Jul 13, 2009","8,146.50","8,331.70","8,130.40","8,331.70","2,535,200","8,331.70"
"Jul 6, 2009","8,280.70","8,328.00","8,206.00","8,324.90","2,069,000","8,324.90"
"Jun 29, 2009","8,440.10","8,533.20","8,429.10","8,529.40","2,164,800","8,529.40"
"Jun 22, 2009","8,538.50","8,538.80","8,334.60","8,339.00","2,912,400","8,339.00"
"Jun 15, 2009","8,798.50","8,798.50","8,577.90","8,612.10","2,302,200","8,612.10"
"Jun 8, 2009","8,759.40","8,824.00","8,633.10","8,764.50","1,896,300","8,764.50"
"Jun 1, 2009","8,501.50","8,760.70","8,501.30","8,721.40","3,548,300","8,721.40"
"May 18, 2009","8,270.20","8,511.90","8,270.20","8,504.10","2,882,800","8,504.10"
"May 11, 2009","8,569.20","8,569.20","8,410.30","8,418.80","3,326,300","8,418.80"
"May 4, 2009","8,213.60","8,434.90","8,213.60","8,426.70","3,544,900","8,426.70"
"Apr 27, 2009","8,073.80","8,122.60","7,987.20","8,025.00","2,829,900","8,025.00"
"Apr 20, 2009","8,128.90","8,128.90","7,840.50","7,841.70","4,536,600","7,841.70"
"Apr 13, 2009","8,082.00","8,113.40","7,963.80","8,057.80","4,242,500","8,057.80"
"Apr 6, 2009","8,016.20","8,016.20","7,862.20","7,975.90","2,474,000","7,975.90"
"Mar 30, 2009","7,773.30","7,773.40","7,437.60","7,522.00","3,832,600","7,522.00"
"Mar 23, 2009","7,279.30","7,780.70","7,278.80","7,775.90","5,156,000","7,775.90"
"Mar 16, 2009","7,225.30","7,392.90","7,206.90","7,217.00","5,869,700","7,217.00"
"Mar 9, 2009","6,625.70","6,709.60","6,516.90","6,547.10","3,659,900","6,547.10"
"Mar 2, 2009","7,056.50","7,059.00","6,755.20","6,763.30","5,686,700","6,763.30"
"Feb 23, 2009","7,366.00","7,441.00","7,105.90","7,114.80","4,061,500","7,114.80"
"Feb 9, 2009","8,281.40","8,315.10","8,196.20","8,270.90","2,892,800","8,270.90"
"Feb 2, 2009","8,000.60","8,000.60","7,867.40","7,936.80","2,938,900","7,936.80"
"Jan 26, 2009","8,078.00","8,231.70","8,023.20","8,116.00","3,167,200","8,116.00"
"Jan 12, 2009","8,599.30","8,602.60","8,421.10","8,474.00","2,735,500","8,474.00"
"Jan 5, 2009","9,027.10","9,034.40","8,892.40","8,952.90","2,337,600","8,952.90"
"Dec 29, 2008","8,515.90","8,530.70","8,364.10","8,483.90","1,537,300","8,483.90"
"Dec 22, 2008","8,573.40","8,601.40","8,372.00","8,519.70","2,110,900","8,519.70"
"Dec 15, 2008","8,628.80","8,676.30","8,469.00","8,564.50","2,299,400","8,564.50"
"Dec 8, 2008","8,637.70","9,026.40","8,637.50","8,934.20","3,589,700","8,934.20"
